User ID,Age Group,Gender,Preferred Shopping Website,Average Monthly Spend (INR),Device Used,Payment Method,Purchase Frequency,Return Rate (%),Most Purchased Category
U8672,0-18,Male,Flipkart,5000-10000,Laptop,Cash on Delivery,Daily,10%,Groceries
U7509,19-30,Female,Flipkart,5000-10000,Tablet,Credit Card,Daily,10%,Clothing
U7809,19-30,Female,Myntra,10000+,Mobile,UPI,Daily,20%,Groceries
U6241,31-50,Male,Amazon,10000+,Tablet,Cash on Delivery,Monthly,20%,Electronics
U9702,0-18,Female,Amazon,5000-10000,Tablet,Credit Card,Monthly,10%,Groceries
U1694,0-18,Female,Flipkart,1000-5000,Mobile,Cash on Delivery,Monthly,20%,Electronics
U2439,31-50,Female,Amazon,5000-10000,Tablet,Cash on Delivery,Daily,20%,Groceries
U1957,0-18,Male,Myntra,1000-5000,Mobile,Cash on Delivery,Monthly,20%,Clothing
U9205,0-18,Male,Amazon,10000+,Laptop,Cash on Delivery,Monthly,10%,Electronics
U3575,0-18,Female,Amazon,5000-10000,Tablet,Cash on Delivery,Weekly,10%,Electronics
U7311,31-50,Male,Flipkart,5000-10000,Mobile,Cash on Delivery,Daily,10%,Clothing
U3839,19-30,Male,Amazon,1000-5000,Mobile,UPI,Daily,20%,Clothing
U3870,31-50,Female,Myntra,10000+,Mobile,Cash on Delivery,Daily,20%,Electronics
U6056,31-50,Female,Myntra,5000-10000,Laptop,UPI,Monthly,20%,Groceries
U7714,31-50,Female,Amazon,1000-5000,Mobile,UPI,Weekly,30%,Electronics
U1279,19-30,Male,Flipkart,1000-5000,Laptop,UPI,Weekly,20%,Clothing
U5960,0-18,Female,Amazon,1000-5000,Mobile,Credit Card,Weekly,10%,Groceries
U5651,31-50,Male,Flipkart,1000-5000,Mobile,UPI,Weekly,10%,Clothing
U4093,0-18,Male,Flipkart,10000+,Laptop,UPI,Daily,10%,Groceries
U9636,19-30,Male,Flipkart,1000-5000,Tablet,Cash on Delivery,Daily,20%,Groceries
U8204,31-50,Female,Flipkart,5000-10000,Mobile,Cash on Delivery,Daily,30%,Clothing
U5763,0-18,Female,Amazon,1000-5000,Laptop,Credit Card,Weekly,10%,Clothing
U7614,0-18,Female,Amazon,5000-10000,Mobile,Cash on Delivery,Weekly,20%,Groceries
U9893,31-50,Male,Amazon,1000-5000,Laptop,Cash on Delivery,Monthly,10%,Electronics
U4056,0-18,Female,Myntra,10000+,Laptop,UPI,Daily,10%,Groceries
